pokemon1,pokemon2,lvldif,a1,a2,a3,a4,b1,b2,b3,b4,win
pinsir,seaking,1,blizzard,sludge,haze,psywave,double-edge,supersonic,counter,guillotine,false
hitmonchan,magikarp,-28,bind,reflect,whirlwind,twineedle,submission,leer,smokescreen,jump kick,false
chansey,kadabra,47,crabhammer,growth,poison powder,kinesis,screech,fury swipes,meditate,flamethrower,true
persian,nidoqueen,22,tail whip,flamethrower,spike cannon,gust,bide,twineedle,smog,horn attack,true
magnemite,lickitung,25,absorb,jump kick,flamethrower,fury attack,high jump kick,vine whip,poison sting,slash,true
kakuna,raichu,88,flamethrower,minimize,spore,splash,skull bash,psychic,roar,razor wind,true
porygon,nidoran♀,7,double team,skull bash,bubble,lovely kiss,poison powder,mega kick,splash,guillotine,true
kabuto,fearow,7,bind,vice grip,defense curl,cut,smog,hyper beam,strength,leech seed,true
magneton,machoke,30,high jump kick,horn drill,screech,self-destruct,counter,razor wind,fury attack,mega drain,true
flareon,butterfree,-3,confuse ray,lovely kiss,jump kick,confuse ray,scratch,screech,confusion,strength,true
tauros,omastar,-17,quick attack,drill peck,tail whip,tri attack,hypnosis,fury attack,thrash,leer,false
poliwhirl,drowzee,-34,light screen,skull bash,low kick,recover,fissure,defense curl,fire spin,sonic boom,false
cloyster,magmar,-43,razor wind,sand attack,dragon rage,stomp,bide,sludge,egg bomb,take down,false
cubone,alakazam,-52,lovely kiss,bubble beam,sharpen,karate chop,mega punch,bubble,razor wind,vine whip,false
cloyster,ditto,11,double-edge,poison sting,barrier,leer,rock slide,acid,sky attack,psychic,true
diglett,weepinbell,63,petal dance,water gun,scratch,roar,thunder,kinesis,smokescreen,leech life,true
ekans,pidgey,-8,double team,fury attack,hyper beam,smog,sonic boom,lovely kiss,mega drain,spike cannon,true
magnemite,kabutops,24,thunder shock,pound,scratch,body slam,teleport,reflect,string shot,explosion,true
onix,spearow,-42,fire spin,fury swipes,bite,metronome,cut,spore,hydro pump,thunder punch,false
arbok,farfetch'd,47,dizzy punch,poison gas,mega drain,hypnosis,horn drill,poison gas,pay day,fire punch,true
mr. mime,hitmonchan,75,skull bash,leech life,bind,splash,supersonic,bide,seismic toss,earthquake,true
geodude,kangaskhan,-6,thunder punch,acid armor,thrash,scratch,night shade,sand attack,earthquake,sharpen,false
vileplume,seadra,-50,pay day,focus energy,fire punch,scratch,mega kick,sky attack,aurora beam,spore,false
lapras,exeggutor,39,tackle,string shot,substitute,gust,splash,dig,stun spore,quick attack,true
bulbasaur,pikachu,57,slash,twineedle,counter,fury attack,double slap,sharpen,thunder wave,quick attack,true
cubone,kadabra,-76,bubble beam,dragon rage,thunder wave,mega kick,barrage,drill peck,seismic toss,swift,false
pidgey,dragonair,37,night shade,flash,defense curl,haze,aurora beam,petal dance,struggle,rock slide,false
tauros,pidgeotto,41,glare,sing,poison sting,hypnosis,double slap,amnesia,surf,jump kick,true
omanyte,scyther,-81,sonic boom,constrict,high jump kick,struggle,acid armor,twineedle,toxic,karate chop,false
scyther,psyduck,23,barrier,poison sting,stomp,sharpen,fire punch,clamp,spike cannon,tail whip,true
farfetch'd,poliwag,-16,thrash,recover,take down,focus energy,dragon rage,sharpen,razor wind,lick,false
flareon,horsea,-31,self-destruct,horn attack,psywave,vice grip,waterfall,vice grip,super fang,amnesia,false
raichu,rapidash,-1,growth,light screen,crabhammer,swords dance,double kick,growth,body slam,bide,false
gastly,dragonair,10,waterfall,dig,mega drain,bubble,fly,dig,sing,acid armor,true
charmander,golem,31,quick attack,psywave,stun spore,slam,clamp,haze,psychic,supersonic,true
nidorino,alakazam,-85,take down,night shade,struggle,growth,bite,explosion,body slam,swords dance,false
ekans,tentacruel,9,gust,headbutt,defense curl,blizzard,dig,vice grip,mimic,spore,false
charizard,drowzee,85,double slap,solar beam,thunder shock,counter,double team,gust,spore,poison gas,true
psyduck,cubone,74,focus energy,lovely kiss,acid armor,leech life,spore,fury swipes,bonemerang,skull bash,true
weedle,bulbasaur,89,bide,bide,swords dance,body slam,tail whip,mirror move,thunder wave,thunderbolt,true
slowbro,poliwag,15,clamp,solar beam,minimize,rest,vine whip,tackle,slam,mist,true
ninetales,nidoqueen,-26,egg bomb,fire punch,light screen,haze,pay day,rolling kick,fissure,whirlwind,false
sandslash,magikarp,-4,confusion,lovely kiss,tri attack,acid armor,thunderbolt,splash,clamp,hydro pump,true
graveler,weezing,32,meditate,submission,stomp,fury attack,substitute,screech,sharpen,amnesia,true
staryu,oddish,-66,barrier,constrict,pay day,mimic,sonic boom,minimize,focus energy,guillotine,false
vaporeon,golem,-37,double kick,double-edge,fly,amnesia,reflect,seismic toss,haze,stun spore,false
bellsprout,dragonair,29,confusion,surf,double-edge,metronome,skull bash,karate chop,solar beam,roar,true
parasect,kakuna,76,amnesia,barrage,karate chop,hypnosis,poison sting,light screen,counter,defense curl,true
nidoqueen,mankey,-49,screech,mist,cut,fly,mega punch,horn attack,screech,mega kick,false
haunter,grimer,-67,hyper fang,flamethrower,super fang,confuse ray,drill peck,fury attack,counter,sand attack,false
eevee,marowak,56,razor wind,defense curl,bind,double-edge,hypnosis,psywave,pay day,explosion,true
nidoking,lickitung,2,bubble,swift,mega drain,amnesia,swift,sing,self-destruct,mist,false
dewgong,articuno,42,rest,disable,bind,karate chop,razor leaf,absorb,defense curl,high jump kick,true
chansey,ponyta,-6,comet punch,confusion,super fang,absorb,double slap,flash,dizzy punch,earthquake,false
venonat,kabuto,-28,rock throw,glare,petal dance,toxic,substitute,constrict,roar,thunder,true
nidoran♂,magmar,31,fire punch,swift,skull bash,mega drain,mimic,haze,double slap,growl,true
exeggcute,bellsprout,-29,bubble beam,hyper beam,aurora beam,water gun,harden,sky attack,mist,pin missile,false
tentacool,rattata,-26,water gun,barrier,sludge,harden,peck,metronome,comet punch,jump kick,false
gyarados,rapidash,7,karate chop,mega kick,reflect,sky attack,whirlwind,thunder shock,rock slide,strength,true
tentacruel,starmie,-15,sonic boom,razor wind,pay day,take down,strength,sing,horn drill,earthquake,true
abra,flareon,49,reflect,acid armor,flamethrower,explosion,sand attack,fly,constrict,spore,true
mr. mime,ponyta,40,leech seed,amnesia,low kick,absorb,dragon rage,lovely kiss,sleep powder,haze,true
raticate,horsea,-75,submission,flash,sleep powder,sky attack,screech,disable,twineedle,kinesis,false
golbat,dewgong,-16,explosion,amnesia,dig,thunder shock,vine whip,poison powder,focus energy,fury attack,false
jigglypuff,magikarp,-2,hyper beam,karate chop,bonemerang,rock throw,tackle,agility,minimize,sing,true
kingler,rapidash,-14,slam,soft-boiled,flamethrower,fire spin,solar beam,agility,strength,growth,false
magmar,kabutops,-76,transform,seismic toss,leech life,submission,fissure,hyper beam,mimic,poison sting,false
mr. mime,blastoise,-3,tail whip,sing,pay day,rest,swift,egg bomb,quick attack,glare,false
weedle,hitmonlee,26,poison powder,leech seed,mega drain,skull bash,smokescreen,spore,kinesis,focus energy,true
pikachu,haunter,-45,poison sting,swift,submission,mimic,hyper fang,poison powder,ice beam,double kick,false
starmie,nidoran♂,0,take down,tackle,smog,sharpen,flamethrower,spike cannon,whirlwind,lovely kiss,true
rhyhorn,abra,7,bind,take down,vice grip,stun spore,body slam,wing attack,headbutt,mega drain,true
fearow,rhyhorn,4,fury swipes,fury attack,light screen,scratch,stun spore,comet punch,meditate,comet punch,true
rhyhorn,scyther,51,mega drain,tri attack,bubble,psywave,crabhammer,sky attack,scratch,supersonic,true
weedle,horsea,-13,agility,night shade,pay day,earthquake,vice grip,fire blast,hyper fang,minimize,false
ditto,dragonair,21,explosion,string shot,thrash,struggle,comet punch,mega punch,sludge,guillotine,true
raticate,squirtle,18,slam,spike cannon,fury attack,blizzard,psybeam,pay day,glare,rock throw,true
electrode,metapod,9,swords dance,bide,flamethrower,tri attack,spore,pay day,horn drill,bone club,true
bulbasaur,weedle,2,pound,barrier,horn attack,sonic boom,sky attack,growth,hyper beam,sleep powder,false
lapras,magneton,-54,explosion,confusion,growl,mega drain,surf,barrage,drill peck,high jump kick,false
nidoran♀,raticate,0,pound,transform,smog,vice grip,minimize,clamp,sky attack,twineedle,false
marowak,bulbasaur,-4,mist,double team,mist,lovely kiss,flash,comet punch,thrash,string shot,false
drowzee,victreebel,16,growl,dream eater,sharpen,mega drain,peck,lick,confuse ray,growl,true
clefairy,metapod,-32,karate chop,submission,meditate,strength,stomp,amnesia,crabhammer,mirror move,false
raticate,flareon,-35,double-edge,solar beam,karate chop,self-destruct,quick attack,rock throw,string shot,conversion,false
raichu,seaking,-68,slash,pound,fire spin,sleep powder,pound,barrier,guillotine,thunder wave,false
weezing,dratini,44,recover,petal dance,poison powder,mimic,sky attack,pound,amnesia,fire blast,true
clefairy,bellsprout,-11,leech seed,reflect,fire blast,rage,light screen,poison powder,sing,pound,true
kabuto,golduck,18,blizzard,double kick,bubble,leech seed,swords dance,spike cannon,headbutt,psywave,true
tentacruel,kabutops,25,mist,teleport,dream eater,psychic,mirror move,night shade,mega punch,screech,true
kabutops,gengar,28,crabhammer,tail whip,mimic,confuse ray,pay day,ice punch,swift,disable,true
slowbro,dugtrio,-16,dig,counter,sleep powder,sonic boom,tackle,constrict,dig,poison sting,true
moltres,wigglytuff,-76,teleport,poison gas,razor wind,smokescreen,transform,fire punch,thunder wave,acid,false
zapdos,machamp,-16,comet punch,mega kick,acid,smog,slam,quick attack,horn attack,swift,false
kabuto,moltres,-23,flamethrower,hypnosis,growl,tri attack,hydro pump,low kick,confusion,hypnosis,false
dratini,venusaur,-21,leech seed,rest,hydro pump,swift,mist,surf,explosion,whirlwind,false
magneton,snorlax,-4,headbutt,body slam,whirlwind,surf,thunder punch,flamethrower,thunderbolt,ice punch,false
weedle,raichu,-20,fly,fly,string shot,cut,ice punch,agility,rolling kick,explosion,false
doduo,omanyte,6,fury attack,thrash,light screen,minimize,strength,fissure,fury swipes,sand attack,true
psyduck,porygon,-5,barrier,soft-boiled,roar,harden,flamethrower,screech,dig,dig,false
raticate,charmeleon,28,acid armor,withdraw,thunder shock,rock slide,light screen,light screen,mimic,earthquake,true
ivysaur,rapidash,21,jump kick,poison gas,screech,splash,light screen,twineedle,struggle,strength,true
pidgey,dodrio,-38,mimic,rock slide,counter,high jump kick,leech seed,acid,swift,dragon rage,false
venonat,squirtle,-54,crabhammer,rolling kick,earthquake,rest,karate chop,bide,pay day,bubble,false
venonat,mr. mime,78,disable,minimize,solar beam,kinesis,sleep powder,fire punch,hyper fang,tackle,true
kingler,clefable,-61,conversion,mega kick,double kick,sludge,stomp,earthquake,constrict,ice beam,false
ivysaur,zubat,79,amnesia,super fang,ice punch,tackle,rage,thrash,withdraw,stomp,true
rapidash,exeggcute,-4,roar,thunderbolt,razor leaf,agility,tail whip,egg bomb,mega punch,hypnosis,true
tentacool,starmie,-6,stun spore,substitute,razor leaf,rage,meditate,horn attack,smog,hypnosis,false
porygon,lapras,43,flamethrower,acid armor,double kick,agility,teleport,thunder punch,earthquake,minimize,true
butterfree,poliwhirl,12,sky attack,barrier,meditate,leer,fly,mega punch,scratch,twineedle,true
rhydon,golduck,-16,swords dance,bite,transform,sky attack,vine whip,fury swipes,surf,solar beam,false
vaporeon,charmeleon,-50,bubble,double kick,lovely kiss,vice grip,comet punch,counter,water gun,absorb,false
ponyta,gastly,61,tail whip,take down,lick,hyper beam,fire spin,horn attack,swords dance,sand attack,true
tauros,seaking,-15,thunder,sonic boom,minimize,poison powder,spike cannon,counter,disable,waterfall,false
flareon,golem,-45,bubble beam,focus energy,solar beam,ice beam,hypnosis,thunder shock,tackle,lovely kiss,false
dodrio,jigglypuff,35,meditate,vine whip,supersonic,thunder wave,harden,rock throw,tri attack,rock throw,true
sandshrew,graveler,-32,clamp,sharpen,metronome,acid armor,explosion,focus energy,gust,solar beam,false
poliwhirl,tentacruel,-34,low kick,thunder punch,headbutt,take down,pound,constrict,vice grip,thunder wave,false
ivysaur,porygon,77,meditate,clamp,razor leaf,dragon rage,confusion,submission,struggle,leech seed,true
golbat,blastoise,-6,amnesia,withdraw,growl,leer,slam,mega kick,surf,sand attack,false
machamp,machamp,45,strength,low kick,roar,psychic,bone club,karate chop,barrage,bubble,true
golbat,seaking,24,bubble beam,fire blast,string shot,horn attack,cut,struggle,supersonic,bonemerang,true
seadra,electabuzz,40,focus energy,ice punch,bide,pound,fire punch,smog,solar beam,double-edge,true
venomoth,clefable,-18,leer,thunderbolt,wing attack,peck,ice punch,thunder punch,growth,vine whip,false
farfetch'd,fearow,6,bonemerang,fury swipes,confuse ray,fly,super fang,haze,stun spore,lick,true
geodude,scyther,-52,tail whip,peck,hydro pump,solar beam,stomp,agility,screech,slash,false
gloom,chansey,-9,minimize,double kick,rock throw,roar,bind,thunderbolt,leer,cut,false
golduck,arcanine,-62,earthquake,ice punch,recover,double-edge,scratch,bone club,barrier,seismic toss,false
sandslash,poliwrath,-36,tackle,disable,hypnosis,splash,dig,water gun,defense curl,hydro pump,false
flareon,magneton,-5,mega kick,drill peck,take down,constrict,rolling kick,rolling kick,sand attack,counter,true
raichu,rattata,-2,growl,focus energy,smokescreen,mega punch,mega drain,skull bash,thunderbolt,thunder,false
weedle,vulpix,92,ember,psywave,rest,blizzard,super fang,horn drill,spike cannon,twineedle,true
weepinbell,koffing,49,growl,whirlwind,rage,bubble beam,tail whip,sleep powder,blizzard,sky attack,true
abra,tentacool,-26,mirror move,substitute,guillotine,bubble,screech,sludge,dragon rage,stun spore,false
nidoking,nidorina,57,dizzy punch,guillotine,glare,body slam,sky attack,harden,rage,stun spore,true
mr. mime,venomoth,28,mirror move,minimize,bite,horn drill,crabhammer,fire blast,razor wind,bonemerang,true
ditto,drowzee,51,fury swipes,swords dance,thunderbolt,stomp,whirlwind,scratch,rock throw,meditate,true
seadra,geodude,3,double kick,water gun,thunder shock,stun spore,take down,flamethrower,spore,crabhammer,true
caterpie,zubat,-56,double-edge,growth,thrash,dragon rage,take down,sharpen,pay day,sand attack,false
pinsir,omanyte,0,vice grip,sharpen,bonemerang,mist,poison sting,crabhammer,mega kick,glare,true
rhyhorn,alakazam,45,string shot,mirror move,dizzy punch,twineedle,double kick,razor leaf,sludge,low kick,true
poliwrath,cloyster,-26,bone club,ice punch,fire blast,focus energy,double slap,supersonic,seismic toss,recover,true
dragonair,ivysaur,39,slam,scratch,thunderbolt,poison sting,screech,dragon rage,water gun,sonic boom,true
golem,grimer,-38,gust,dragon rage,peck,spore,kinesis,petal dance,roar,metronome,false
pidgeotto,hitmonchan,-12,growl,stun spore,bubble beam,petal dance,leer,tail whip,fly,flash,false
vulpix,flareon,-56,submission,water gun,strength,bind,psywave,pay day,leech seed,amnesia,false
drowzee,kabutops,7,ice punch,wing attack,clamp,flash,mist,solar beam,lick,smog,true
ditto,charmander,-17,thunder wave,mirror move,rock throw,growl,strength,vine whip,horn attack,tail whip,false
omanyte,clefable,-3,leech seed,spore,karate chop,waterfall,dig,body slam,screech,sky attack,false
pinsir,butterfree,34,self-destruct,confuse ray,crabhammer,mega kick,flamethrower,horn attack,petal dance,drill peck,true
mewtwo,oddish,59,substitute,pin missile,fissure,poison gas,pin missile,headbutt,double slap,sing,true
beedrill,hitmonchan,-34,pound,slash,aurora beam,fury swipes,poison powder,slash,ice beam,double kick,false
pidgey,cubone,-46,strength,cut,sky attack,slam,vice grip,fire spin,slash,fire punch,false
dragonair,psyduck,-34,teleport,peck,clamp,self-destruct,explosion,ember,stomp,reflect,false
slowbro,ninetales,-18,string shot,transform,disable,kinesis,scratch,bide,focus energy,haze,false
lapras,doduo,-66,minimize,bind,mega punch,waterfall,growl,tri attack,blizzard,karate chop,false
raichu,krabby,45,leech life,metronome,confuse ray,bubble beam,struggle,toxic,thunder,mist,true
doduo,mankey,4,ice punch,bide,struggle,low kick,substitute,supersonic,supersonic,stun spore,true
nidorino,poliwrath,6,barrier,fly,leech seed,mirror move,withdraw,bite,thunder wave,fury swipes,true
seaking,paras,10,slash,string shot,thunder wave,mirror move,night shade,horn drill,fury attack,kinesis,true
butterfree,chansey,14,thunder wave,water gun,conversion,double kick,metronome,fly,sky attack,ice punch,false
marowak,persian,-3,metronome,dragon rage,leech seed,teleport,mega punch,scratch,body slam,thunder,false
poliwhirl,machamp,-74,bind,fury attack,rage,double kick,gust,body slam,water gun,take down,false
sandslash,metapod,92,hypnosis,transform,acid armor,fly,constrict,swords dance,reflect,skull bash,true
lapras,haunter,79,surf,sludge,haze,agility,tri attack,fury attack,psywave,skull bash,true
parasect,charizard,-45,karate chop,slash,petal dance,confuse ray,psychic,sonic boom,whirlwind,bone club,false
metapod,jynx,-3,headbutt,rage,mirror move,haze,fury attack,bide,egg bomb,mimic,false
lapras,venonat,-16,stun spore,guillotine,night shade,dig,thunder,light screen,bubble,double team,false
mankey,seaking,-32,egg bomb,dragon rage,mimic,confusion,low kick,submission,tail whip,poison sting,false
dewgong,pinsir,0,low kick,vice grip,psychic,barrage,low kick,wing attack,harden,fire blast,true
caterpie,goldeen,9,egg bomb,leer,agility,surf,explosion,mega punch,thrash,amnesia,false
doduo,hitmonchan,15,screech,rock slide,skull bash,dream eater,self-destruct,karate chop,peck,light screen,true
nidorina,meowth,-2,vine whip,twineedle,dig,barrage,rage,bide,ice punch,thunder wave,true
dratini,poliwhirl,-13,poison powder,quick attack,seismic toss,sand attack,growl,lick,bone club,flash,false
venusaur,nidoqueen,40,razor wind,guillotine,glare,recover,defense curl,agility,karate chop,splash,true
spearow,lickitung,-21,fire spin,focus energy,comet punch,waterfall,pound,razor wind,dig,skull bash,false
arcanine,clefable,-53,ice beam,thunderbolt,rock slide,sand attack,metronome,strength,high jump kick,string shot,false
poliwhirl,victreebel,3,psywave,hyper beam,stomp,surf,super fang,solar beam,pin missile,sing,false
magnemite,venonat,-33,whirlwind,dragon rage,hydro pump,psywave,submission,mega drain,poison gas,dragon rage,false
vulpix,pinsir,-59,barrier,sky attack,tri attack,cut,growth,pin missile,swift,aurora beam,false
nidoking,horsea,7,minimize,ice punch,earthquake,cut,karate chop,hypnosis,rolling kick,rock throw,true
weepinbell,magnemite,63,earthquake,fire blast,disable,confuse ray,counter,constrict,peck,screech,true
alakazam,nidoking,-14,mist,spike cannon,amnesia,rock slide,fissure,self-destruct,sonic boom,bide,false
magikarp,drowzee,0,acid,solar beam,mega punch,psywave,swords dance,soft-boiled,bite,hydro pump,false
ivysaur,sandslash,61,kinesis,psychic,sing,slam,disable,agility,defense curl,sharpen,true
kadabra,dewgong,-31,double-edge,supersonic,solar beam,swift,rage,gust,take down,struggle,false
magnemite,magneton,57,counter,screech,withdraw,waterfall,twineedle,cut,bubble,scratch,false
ekans,golduck,-34,dig,ice punch,pin missile,psychic,leech seed,confusion,crabhammer,cut,false
ninetales,raticate,53,super fang,recover,acid,flamethrower,water gun,mega kick,bubble,kinesis,true
koffing,pinsir,38,drill peck,horn attack,super fang,ice punch,screech,thunderbolt,twineedle,horn drill,true
sandshrew,fearow,16,sky attack,rest,counter,pay day,barrage,swift,barrier,scratch,true
charmander,cloyster,38,fire spin,solar beam,dream eater,blizzard,clamp,sand attack,peck,hypnosis,true
shellder,nidoqueen,61,surf,thunder,thunder,earthquake,toxic,barrage,bubble,confuse ray,true
rattata,jigglypuff,-2,confuse ray,roar,submission,mega kick,aurora beam,slash,supersonic,stomp,false
sandshrew,ekans,66,poison gas,strength,mega drain,fury attack,confusion,spore,horn attack,skull bash,true
nidorina,jynx,-54,wing attack,mega kick,earthquake,rage,leech life,peck,sleep powder,lovely kiss,false
staryu,chansey,-13,sing,hyper fang,smokescreen,twineedle,ice beam,screech,focus energy,sharpen,false
weepinbell,fearow,-9,lick,metronome,lick,reflect,fury attack,night shade,drill peck,focus energy,false
abra,ninetales,-13,mega drain,rest,petal dance,screech,strength,bind,rage,disable,false
eevee,cloyster,-49,hyper beam,reflect,glare,fire spin,cut,hydro pump,fire punch,solar beam,false
zapdos,meowth,-89,psychic,aurora beam,string shot,sky attack,thunderbolt,splash,tail whip,barrier,false
gloom,poliwrath,-20,dream eater,peck,razor wind,bonemerang,poison sting,dream eater,razor leaf,withdraw,false
dratini,weepinbell,31,confusion,double-edge,fly,karate chop,dig,haze,jump kick,explosion,true
primeape,gengar,29,submission,skull bash,wing attack,mega drain,gust,leech seed,soft-boiled,leech seed,true
zapdos,vileplume,-31,mirror move,double team,smokescreen,take down,ember,self-destruct,transform,aurora beam,false
articuno,gengar,55,acid,hypnosis,spore,haze,leech seed,headbutt,smokescreen,acid armor,true
fearow,kabutops,-46,splash,string shot,glare,fire spin,skull bash,fire punch,growl,bonemerang,false
slowpoke,lickitung,4,mega drain,disable,thunder wave,absorb,razor wind,blizzard,egg bomb,poison gas,false
venusaur,nidoran♂,-11,thunder punch,acid armor,psybeam,metronome,vice grip,submission,double team,swords dance,true
grimer,pidgeot,-20,skull bash,night shade,take down,self-destruct,slash,low kick,wing attack,poison sting,false
scyther,pidgey,-13,defense curl,quick attack,acid,jump kick,vice grip,sing,crabhammer,poison gas,true
psyduck,machoke,-28,pound,water gun,egg bomb,submission,supersonic,ice punch,fire blast,water gun,false
wigglytuff,pinsir,64,constrict,supersonic,tri attack,stomp,roar,mega kick,jump kick,thunder wave,true
arbok,kabutops,-27,take down,withdraw,stun spore,vine whip,mega drain,submission,headbutt,psywave,false
charmander,hitmonlee,-76,slam,rest,withdraw,flamethrower,supersonic,poison gas,surf,double slap,false
venusaur,dragonair,-12,splash,transform,defense curl,fury attack,struggle,defense curl,rock slide,take down,false
weezing,vaporeon,40,teleport,guillotine,barrage,self-destruct,explosion,double slap,conversion,bubble,true
abra,abra,6,mega punch,absorb,ember,splash,hypnosis,mirror move,strength,sharpen,true
charmander,ditto,7,mirror move,ice beam,bubble beam,stun spore,horn attack,psybeam,sleep powder,fire blast,true
drowzee,omastar,28,dream eater,slash,submission,blizzard,bide,lick,vine whip,hyper fang,true
zubat,zapdos,33,headbutt,psychic,lick,crabhammer,tri attack,tail whip,roar,tail whip,true
starmie,kingler,6,razor wind,dragon rage,peck,withdraw,bubble,earthquake,body slam,soft-boiled,false
fearow,kabuto,42,supersonic,constrict,smog,vice grip,poison gas,bite,growl,psychic,true
ponyta,ditto,-6,growth,fury attack,hyper fang,psybeam,low kick,vine whip,screech,rest,false
dratini,cloyster,-1,flash,sludge,drill peck,thunder,bide,smog,take down,thunder wave,false
machoke,koffing,-70,acid armor,constrict,sky attack,struggle,vine whip,egg bomb,hydro pump,bonemerang,false
haunter,lapras,37,string shot,super fang,sing,leech life,vice grip,night shade,kinesis,psychic,true
gastly,muk,-67,fly,absorb,absorb,reflect,glare,smokescreen,sing,fissure,false
raichu,dratini,43,defense curl,vine whip,slash,transform,flash,tail whip,splash,thunder shock,true
machamp,ninetales,-55,bonemerang,dizzy punch,amnesia,sky attack,vine whip,sand attack,hyper beam,roar,false
ninetales,primeape,1,thunderbolt,slash,peck,fire spin,rest,ice beam,growl,meditate,true
blastoise,scyther,-89,fury swipes,kinesis,leech seed,thunder,mega drain,rage,smokescreen,sharpen,false
gloom,mewtwo,-57,vine whip,low kick,jump kick,night shade,dream eater,supersonic,fire blast,mist,false
marowak,gloom,28,quick attack,dragon rage,submission,gust,struggle,leer,headbutt,wing attack,true
pidgeotto,muk,-15,razor wind,waterfall,rolling kick,rage,fury swipes,aurora beam,sonic boom,bind,false
golem,slowbro,8,poison powder,drill peck,glare,earthquake,ember,agility,dizzy punch,bone club,true
kabuto,mewtwo,68,peck,solar beam,tail whip,fire punch,supersonic,rest,absorb,low kick,true
ivysaur,marowak,-13,screech,amnesia,rage,acid,poison gas,constrict,bind,pin missile,false
drowzee,golem,54,razor wind,egg bomb,agility,horn attack,spore,sing,dig,teleport,true
victreebel,koffing,24,solar beam,light screen,bite,bonemerang,psychic,spike cannon,leech seed,crabhammer,true
magneton,dragonite,-44,substitute,recover,pound,rock slide,lovely kiss,poison powder,defense curl,clamp,false
dodrio,exeggcute,-17,psybeam,explosion,thunder shock,stomp,hyper beam,disable,comet punch,swift,false
slowbro,meowth,14,body slam,screech,double slap,kinesis,strength,ember,guillotine,thunder,true
haunter,sandslash,-49,thrash,take down,poison gas,aurora beam,ember,rock slide,strength,hyper fang,false
squirtle,rattata,42,whirlwind,fire punch,water gun,razor leaf,psychic,mega punch,kinesis,bubble beam,true
nidoran♂,diglett,-42,screech,soft-boiled,swords dance,conversion,smog,ice punch,swords dance,crabhammer,false
krabby,arbok,-3,tackle,lick,ice beam,absorb,karate chop,swords dance,peck,recover,false
ivysaur,parasect,-73,surf,poison sting,sharpen,sharpen,screech,vine whip,swords dance,double kick,false
raticate,jigglypuff,-59,low kick,counter,slam,earthquake,spore,razor leaf,horn drill,sky attack,false
nidorino,ivysaur,0,sing,ice beam,teleport,barrage,solar beam,toxic,fire spin,psychic,false
articuno,pidgeotto,-5,focus energy,hyper beam,sand attack,hydro pump,thrash,string shot,horn attack,bubble,true
dugtrio,lickitung,-55,twineedle,absorb,aurora beam,rage,submission,water gun,psybeam,withdraw,false
tentacool,bulbasaur,-13,bone club,pin missile,wing attack,metronome,dig,mist,pay day,swords dance,false
bellsprout,kabuto,33,explosion,acid,substitute,ice punch,barrier,pound,stomp,scratch,true
seaking,machoke,-79,soft-boiled,tri attack,soft-boiled,growl,confuse ray,splash,surf,bonemerang,false
jynx,magmar,14,counter,fury attack,dragon rage,slam,hydro pump,leech life,petal dance,sleep powder,false
weedle,kingler,28,toxic,egg bomb,barrage,kinesis,skull bash,ice punch,fury attack,gust,true
golduck,pidgey,14,lick,body slam,sky attack,stomp,clamp,double team,super fang,mist,true
cloyster,abra,4,barrage,soft-boiled,bonemerang,mist,dragon rage,comet punch,focus energy,dragon rage,true
mewtwo,wartortle,-30,confuse ray,teleport,crabhammer,karate chop,drill peck,solar beam,barrier,string shot,false
raticate,voltorb,-3,fly,swift,tail whip,waterfall,thunder punch,horn attack,peck,smokescreen,false
voltorb,onix,60,double slap,fire spin,kinesis,meditate,swords dance,poison sting,mist,psychic,true
beedrill,pikachu,28,conversion,confusion,amnesia,smog,constrict,bonemerang,poison gas,low kick,true
weezing,nidoking,9,confuse ray,substitute,smokescreen,substitute,peck,rolling kick,meditate,growth,false
ninetales,golem,23,karate chop,disable,tackle,tail whip,sleep powder,counter,water gun,metronome,true
farfetch'd,butterfree,73,flash,dragon rage,pin missile,bite,sleep powder,thunder,lick,thunder wave,true
scyther,dodrio,-51,guillotine,low kick,hyper beam,mega drain,solar beam,bubble beam,leech seed,whirlwind,false
diglett,sandshrew,-37,smokescreen,fury attack,absorb,focus energy,metronome,razor wind,scratch,explosion,false
wartortle,beedrill,-45,tackle,slam,rage,lick,amnesia,fire blast,double kick,mist,false
oddish,aerodactyl,31,pin missile,kinesis,disable,tail whip,fly,explosion,pay day,vice grip,false
ninetales,scyther,35,bide,sharpen,harden,counter,smokescreen,swords dance,ice punch,thrash,true
hypno,pidgeot,-53,constrict,fury attack,pound,kinesis,rock throw,clamp,strength,slash,false
jigglypuff,kadabra,7,high jump kick,transform,jump kick,dream eater,supersonic,bubble,double-edge,double-edge,false
seaking,alakazam,24,take down,thunder wave,fury attack,thrash,focus energy,bonemerang,lick,spike cannon,true
kabuto,persian,26,quick attack,flash,low kick,thrash,super fang,fire spin,solar beam,fire punch,true
clefairy,persian,3,petal dance,fissure,toxic,lovely kiss,psywave,slash,high jump kick,fury swipes,false
machop,zapdos,45,slam,guillotine,acid armor,dig,guillotine,spike cannon,rest,smog,true
tangela,arbok,47,rolling kick,psychic,razor leaf,poison gas,smokescreen,rock slide,hyper beam,haze,true
venonat,oddish,26,sleep powder,wing attack,spike cannon,conversion,sonic boom,fire spin,screech,tri attack,true
lapras,farfetch'd,-10,rolling kick,seismic toss,aurora beam,stun spore,amnesia,mega kick,teleport,swords dance,false
